,indices,bandes,1,2,3,4,5,6,7,8
1,/,/,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI
2,/,/,PNRMV,PNRMV,PNRMV,PNRMV,PNRMV,PNRMV,PNRMV,PNRMV
73,ND,ND_B6_B7,-0.06244001892633049,-0.055288105734655674,-0.044825769087797035,-0.03536047203989881,-0.04895491413039256,-0.05840746974965223,,
74,SR,SR_B6_B7,0.8827226383796077,0.8953146322557194,0.9143970396920976,0.9318291483954069,0.9068743943518226,0.890016896232092,,
75,ND,ND_B6_B8,-0.09297672650578143,-0.08970177105901117,-0.06704383733979775,-0.056536522876759386,-0.0827683511048318,-0.08748478784364844,,
76,SR,SR_B6_B8,0.8339182038038876,0.8357678396534154,0.8753377382709688,0.893477847077734,0.8485529325632439,0.8410363819068418,,
77,ND,ND_B6_B8A,-0.13629739141939776,-0.12592502460210192,-0.09660100728909633,-0.08504752800998454,-0.11417426676719548,-0.12098914793663354,,
78,SR,SR_B6_B8A,0.7606975054565637,0.7763897596953587,0.8242718168058284,0.8433535249944428,0.7952998153574006,0.7844127112473401,,
79,ND,ND_B6_B11,-0.11625730682213063,-0.19134564122862488,-0.12393065688165508,-0.1634509983583072,-0.18614096133872238,-0.0978791626495211,,
80,SR,SR_B6_B11,0.8011548795685622,0.6795859090873199,0.7816737509330206,0.7197217340011326,0.6869584280771179,0.8241237309612888,,
81,ND,ND_B6_B12,0.10730460687435008,0.005095165455245193,0.03208374937915869,-0.04515322721980565,0.012353150357119001,0.1345832228633742,,
82,SR,SR_B6_B12,1.2682236411844567,1.0126678221799648,1.0690061430667803,0.9150259951298252,1.0276321479405306,1.3182709067811427,,
83,SR,SR_B7_B2,5.33056555754253,3.46127902776735,3.1137025486607,2.227502564601745,3.05006890423268,4.124368610838094,,
84,SR,SR_B7_B3,3.6998878519525396,2.627080520768655,2.458443310394131,1.864574333957703,2.444482800168615,3.0901141462013952,,
85,SR,SR_B7_B4,3.058054561336899,2.060466169103247,2.039028481010796,1.5964548993305339,1.927366699523098,2.538583451525931,,
86,SR,SR_B7_B5,1.8791263720842946,1.5466938923034201,1.5417736549965644,1.3374425905133427,1.4921438906373994,1.7464216216938893,,
87,SR,SR_B7_B6,1.1335820071187674,1.1171840641916886,1.0941168960477712,1.0734796131585185,1.1032419257869566,1.1246096629641362,,
88,ND,ND_B7_B8,-0.030876122180143042,-0.03460001099821675,-0.022303363397699578,-0.0212262280705638,-0.033994790091777596,-0.029285686387033816,,
89,SR,SR_B7_B8,0.945000471703909,0.9334909505324949,0.9572165687995573,0.9589844462103909,0.9359259789906562,0.9455479850720032,,
90,ND,ND_B7_B8A,-0.0745193995825457,-0.07113289886206996,-0.0520148179530972,-0.04983783387577491,-0.06559221769892473,-0.06302577563918105,,
